,Unnamed: 0,summary,description
134,134,Bug 116755 PointcutParser is not configurable, test reflect weaver tool is. use follow code pointcut parser pars new pointcut parser string expr call public main hello.. pointcut express pex pars pointcut express expr whenev use full qualifi class name pointcut express except throw java lang illeg argument except warn match type name obj xlint absolut type name tri turn lint except. seem must access world field pointcut parser. inconveni world field expos pointcut parser. exist pointcut parser interfac implicitli creat world allow configur includ classpath lint. develop may need kind control.
135,135,Bug 108050 Execution not matching override in doubly derived method, follow sampl code fail compil match execut post mock servlet. declar warn servlet request match case advic join point actual run runtim though simplifi code show problem declar warn. work fairli recent certainli even ajdt august public abstract class mock servlet extend http servlet protect void post privat static aspect find match declar warn execut http servlet.. servlet request declar warn execut http servlet.. servlet request class http servlet protect void post public class mock delay servlet extend mock servlet privat static final long version public class mock servlet extend mock delay servlet protect void post compil output warn includ two mock servlet devel workspac test src mock servlet java warn servlet request protect void post method execut void mock servlet post see also devel workspac test src mock servlet java devel workspac test src mock servlet java warn servlet request protect void post method execut void mock servlet post see also devel workspac test src mock servlet java devel workspac test src mock servlet java warn servlet request protect void post method execut void http servlet post see also devel workspac test src mock servlet java devel workspac test src mock servlet java warn servlet request protect void post method execut void http servlet post see also devel workspac test src mock servlet java devel workspac test src mock servlet java warn servlet request protect void post method execut void mock servlet post see also devel workspac test src mock servlet java warn.
136,136,Bug 398588 Using aspect 'requires' clause causes all aspects with 'requires' clauses not be loaded regardless, usag requir claus caus aspect requir claus load regardless whether specifi requir class exist. scenario happen let assum bunch aspect etc. requir claus referenc class satisfi. class loader weav adaptor aspect goe aspect definit one one. reach aspect detect requir claus invok bcel world aspect requir. caus aspect requir class regist intern requir type map. code call bcel weaver librari aspect argument turn call or replac aspect invok unsatisfi depend. unsatisfi depend written run.. check alreadi run noth. otherwis remov requir type map type resolv thu leav cannot resolv. word assum run remain type must unsatifi. thu invok st time resolv requir type leav requir type map empti also mark run requir. class loader weav adaptor aspect loop reach call bcel world aspect requir sinc also declar requir claus. caus referenc class map requir type map. howev bcel weaver librari aspect call code reach unsatisfi depend code assum alreadi run check inde referenc class satisfi assum. word subsequ aspect etc. declar unsatisifi depend. quick bugfix seem rather simpl everi time bcel world aspect requir method call mark requir type process fals order forc evalu case unsatisfi depend call.
137,137,Bug 359332 NPE in AjBuildManager.java:528 after non-Java/AJ file was renamed, build identifi upon use eclips renam resourc dialog renam project src main resourc meta inf spring email properti file schedul properti directori eclips display aspect intern compil error dialog stack trace java io file not found except java io file input stream open nativ method java io file input stream init file input stream java org aspectj ajdt intern core builder aj build manag resourc from file aj build manag java org aspectj ajdt intern core builder aj build manag resourc to destin aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java.. error file not found except thrown user aswan project foo src main resourc meta inf spring email properti file directori reproduc reproduc step reproduc.
138,138,Bug 34951 NPE compiling without aspectjrt.jar, compil spacewar without specifi aspectjrt jar classpath caus npe. expect error messag aspectjrt jar requir. step reproduc instal latest cd doc exampl java jar... lib aspectjtool jar verbos spacewar debug lst result npe attach log.
139,139,Bug 108892 Load Time Weaving problem with Aspect Definition at 2 Levels of Hierarchy, tri weav tomcat system level aspect meta inf aop xml found jar system classpath also web applic aop xml properli deploy. tri run togeth system level aspect work. remov system level aspect jar classpath applic level aspect work. would reason way isol test case could packag simpl system jar app war file tomcat would use use debug tri make simpl standalon version aop xml file app classload work fine.
140,140,"Bug 256400 An internal error occurred during: ""Delete and update AspectJ markers for CoreSource"".", occur clean build project work. follow inth detail. intern error occur delet updat aspect marker core sourc java lang null pointer except.
141,141,Bug 116949 [waitingOnAJDTdrop]Exception thrown from AspectJ compiler, java lang class cast except org aspectj weaver bcel bcel class weaver for overrid bcel class weaver java org aspectj weaver bcel bcel class weaver ani requir bridg method bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj ajdt intern compil aj compil adapt weav aj compil adapt java org aspectj ajdt intern compil aj compil adapt compil aj compil adapt java org aspectj ajdt intern compil compil adapt ajc return org compil adapt cc ca compil adapt aj org aspectj org eclips jdt intern compil compil compil compil java org aspectj ajdt intern core builder aj build manag compil aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java troubl public class ts simul client abstract client option setter extend ts util cmd line program option setter base final ts simul client abstract client privat static final org aspectj lang join point static part ajc tjp public void init ts simul client abstract client org aspectj weaver method declar line number aload_ ts simul client abstract client option setter line aload_ putfield ts simul client abstract client option setter lt simul client abstract client aload_ ts simul client abstract client option setter line aload_ invokespeci ts util cmd line program option setter base init lt util cmd line program constructor execut void ts simul client abstract client option setter init ts simul client abstract client return constructor execut void ts simul client abstract client option setter init ts simul client abstract client end public void init ts simul client abstract client public boolean option string throw ts util illeg program argument except org aspectj weaver method declar line number method execut boolean ts simul client abstract client option setter option java lang string aload_ java lang string param line method call int java lang string length invokevirtu java lang string length method call int java lang string length ifl aload_ ts simul client abstract client option setter line getfield ts simul client abstract client option setter lt simul client abstract client aload_ java lang string param putfield ts simul client abstract client name ljava lang string new java io file line dup aload_ ts simul client abstract client option setter getfield ts simul client abstract client option setter lt simul client abstract client getfield ts simul client abstract client name ljava lang string constructor call void java io file init java lang string invokespeci java io file init ljava lang string constructor call void java io file init java lang string astore_ aload_ java io file file line method call boolean java io file exist invokevirtu java io file exist method call boolean java io file exist ifn new ts util illeg program argument except line dup new java lang string builder dup ldc cannot find file constructor call void java lang string builder init java lang string invokespeci java lang string builder init ljava lang string constructor call void java lang string builder init java lang string aload_ ts simul client abstract client option setter getfield ts simul client abstract client option setter lt simul client abstract client getfield ts simul client abstract client name ljava lang string method call java lang string builder java lang string builder append java lang string invokevirtu java lang string builder append ljava lang string ljava lang string builder method call java lang string builder java lang string builder append java lang string ldc method call java lang string builder java lang string builder append java lang string invokevirtu java lang string builder append ljava lang string ljava lang string builder method call java lang string builder java lang string builder append java lang string method call java lang string java lang string builder string invokevirtu java lang string builder string ljava lang string method call java lang string java lang string builder string constructor call void ts util illeg program argument except init java lang string invokespeci ts util illeg program argument except init ljava lang string constructor call void ts util illeg program argument except init java lang string athrow iconst_ line ireturn iconst_ line ireturn method execut boolean ts simul client abstract client option setter option java lang string end public boolean option string throw ts util illeg program argument except public boolean option string throw ts util illeg program argument except org aspectj weaver method declar line number method execut boolean ts simul client abstract client option setter option java lang string aload_ java lang string param line method call int java lang string length invokevirtu java lang string length method call int java lang string length ifl aload_ ts simul client abstract client option setter line getfield ts simul client abstract client option setter lt simul client abstract client aload_ java lang string param putfield ts simul client abstract client name ljava lang string catch ts simul simul except aload_ ts simul client abstract client option setter line getfield ts simul client abstract client option setter lt simul client abstract client aload_ ts simul client abstract client option setter getfield ts simul client abstract client option setter lt simul client abstract client getfield ts simul client abstract client name ljava lang string method call java lang class ts simul scene factori scene class java lang string invokestat ts simul scene factori scene class ljava lang string ljava lang class method call java lang class ts simul scene factori scene class java lang string putfield ts simul client abstract client class ljava lang class aload_ ts simul client abstract client option setter line getfield ts simul client abstract client option setter lt simul client abstract client method call void ts simul client abstract client bean info search path invokestat ts simul architectur of lt simul architectur getstat ts simul client abstract client option setter ajc tjp lorg aspectj lang join point static part invokevirtu ts simul architectur ajc architectur ae lorg aspectj lang join point static part invokevirtu ts simul client abstract client bean info search path method call void ts simul client abstract client bean info search path goto catch ts simul simul except astore_ line new ts util illeg program argument except line dup aload_ ts simul simul except method call java lang string ts simul simul except messag invokevirtu ts simul simul except messag ljava lang string method call java lang string ts simul simul except messag constructor call void ts util illeg program argument except init java lang string invokespeci ts util illeg program argument except init ljava lang string constructor call void ts util illeg program argument except init java lang string athrow iconst_ line ireturn iconst_ line ireturn method execut boolean ts simul client abstract client option setter option java lang string end public boolean option string throw ts util illeg program argument except public boolean option string org aspectj weaver method declar line number method execut boolean ts simul client abstract client option setter option java lang string aload_ ts simul client abstract client option setter line getfield ts simul client abstract client option setter lt simul client abstract client aload_ java lang string param putfield ts simul client abstract client name ljava lang string iconst_ line ireturn method execut boolean ts simul client abstract client option setter option java lang string end public boolean option string public boolean option string org aspectj weaver method declar line number method execut boolean ts simul client abstract client option setter option java lang string catch java lang number format except aload_ java lang string param line method call int java lang integ int java lang string invokestat java lang integ int ljava lang string method call int java lang integ int java lang string istore_ goto catch java lang number format except astore_ int line iconst_ line ireturn iconst_ line ireturn method execut boolean ts simul client abstract client option setter option java lang string end public boolean option string end public class ts simul client abstract client option setter weav type ts simul client abstract client option setter weav class weav increment build build config project eclips metadata plugin org eclips ajdt core ts gener lst file.
142,142,Bug 108816 AspectJ 1.5.0 Development Compiler Chokes on Advice with Cflow,
143,143,Bug 81863 Annotation matching using within() PCD doesn't appear to be working.,
144,144,Bug 148972 problems with binary weaving declare parents in mixed environment., report larg system intric weav class vm. binari weav declar parent sometim refus allow modif hierarchi see clash two method none. two case fix sometim signatur return type differ. problem fix consist sometim synthet method relationship determin correctli.
145,145,Bug 39458 Compiler crash in ajc 1.1,
146,146,"Bug 109283 Invalid ""indirect static access"" warning on EnumSet.noneOf", compil aspect enabl project java sourc mode indirect access static modifi warn follow code incorrectli give compil warn occur non aspect enabl project public class test enum foo wibbl wobbl woo public static void main string arg enum set foo set enum set of foo class.
147,147,Bug 148388 LTW weaver produces a debug message at the begining,
148,148,Bug 124808 [generics] detecting field-get of field of parameterized type., hi second gener issu java code public class test extend integ set int new hash set public set foo return int public static void main string arg test integ new test integ set integ int foo aspect public privileg aspect test aspect pointcut member collect test target get public set number com mprv secsph.. within test aspect test test member collect test system println go aspect compil output warn test test member collect test root idea project test src com mprv secsph test aspect aj advic defin com mprv secsph test aspect appli xlint did not match would expect member collect catch access int member test... thank lot misha.
149,149,Bug 413378 A constructor added by ITD cannot invoke the method of its super class, aspect develop tool. releas seem super method correctli resolv constructor ad itd compil problem runtim except rais. class add new constructor public class child extend parent public string parent john public child string parent. parent parent public string parent return. parent see child extend parent class parent method age public class parent privat string name john privat int age public int age return age add new constructor child aspect public aspect my test public child new string parent int age parent system println get age super age system println child name. parent aspect code trigger except. except thread main java lang no such method error com test child ajc dispatch child age my test ajc inter constructor my test child my test aj com test child init child java main program main main program java limit aspect way resolv issu also attach src compil binari file.
150,150,Bug 382189 NPE in BcelTypeMunger.createBridgeMethod, build identifi sinc updat version aspect develop tool. get compil java lang null pointer except org aspectj weaver bcel bcel type munger bridg method bcel type munger java org aspectj weaver bcel bcel type munger ani bridg method for covari bcel type munger java org aspectj weaver bcel bcel type munger new method bcel type munger java org aspectj weaver bcel bcel type munger mung bcel type munger java org aspectj weaver bcel bcel class weaver weav bcel class weav... aspect develop tool. project compil without except. reproduc alway.
151,151,Bug 99191 declare @field allowed for non existent fields, code interfac interfac aspect declar field int such field interfac error get error even though such field exist. tri declar field no such lass such field get error though.
152,152,"Bug 78261 field pattern with ""void"" type should be compile-time error", realli barf earli get void oppos compil treat someth never match. rate minor sinc error messag issu.
153,153,Bug 266996 AspectJElementHierarchy.java:427 NullPointerException, sinc recent updat eclips get error use ajdt compil time weav. singl use aspect configur spring. call critic applic wont run without aspect compil. build two popup aspect intern compil error show instruct look post bugreport. st popup java lang null pointer except org aspectj asm intern aspect element hierarchi closer match for line number aspect element hierarchi java org aspectj weaver model asm relationship provid relationship asm relationship provid java org aspectj weaver bcel bcel type munger mung bcel type munger java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav.. end abstract interfac org springframework bean factori aspectj abstract interfac driven depend inject aspect configur deseri support nd popup java lang null pointer except org aspectj asm intern aspect element hierarchi closer match for line number aspect element hierarchi java org aspectj weaver model asm relationship provid relationship asm relationship provid java org aspectj weaver bcel bcel type munger mung bcel type munger java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav.. ibati domain banf ireturn end public volatil int to object end public class de synaix. banf ibati domain banf output ajdt event trace window remov problem task project builder tidi output folder remov class file deriv resourc timer event ms delet marker finish delet marker compil configur project know previou state assum everyth chang. build kind fullbuild project kind build request full aspect compil builder tidi output folder remov class file deriv resourc timer event ms pre compil compil configur project read compil. reset. configur projectsourcefiles_chang javaoptions_chang aspectpath_chang classpath_chang inpath_chang nonstandardoptions_chang outjar_chang projectsourceresources_chang outputdestinations_chang injars_chang reset list modifi sourc file. null prepar build go increment success previou full build timer event ms time first compil messag timer event ms time first woven messag aspect report build success build full ajd callback finish. full build true timer event ms total time spent ajd timer event ms refresh build type affect build crosscut model saniti check problem timer event ms post compil timer event ms total time spent builder build timer event ms delet marker finish delet marker timer event ms creat marker finish creat marker.
154,154,Bug 288505 failure to close inputstream,
155,155,Bug 70773 AspectJ Error: ConncurrentModificationException thrown: null, aspect eclips build id also previou eclips version build id enabl increment compil make chang file type space delet edit comment get conncurr modif except thrown null error.
156,156,Bug 149560 [@AspectJ] Incorrect weaving of static initialization join point, error occur static initi one aspect class woven advic anoth aspect. work fine version see decompil code snippet static object obj new factori ito monitor aspect java class name cz kb usermanag ito ito monitor aspect ajc tjp factori obj staticiniti factori obj initi sig cz kb usermanag ito ito monitor aspect obj factori ajc tjp null null static initi aspect class deliber woven use advic anoth aspect defin elsewher tri user manag log aspect of class init org aspectj lang join point obj catch throwabl throwabl throwabl instanceof except in initi error throw except in initi error throwabl els user manag log aspect of class init throw throwabl user manag log aspect of class init line compil use aspect miss use ajc. note line howev present static initi aspect class woven advic aspect ajc clinit result miss call ajc clinit aspect instanc creat method of throw org aspectj lang no aspect bound except.
157,157,Bug 83563 pertypewithin() handing of inner classes,
158,158,Bug 95992 Problems resolving type name inside generic class, ajc report error compil follow code interfac base static interfac inner class test extend test inner test implement base static class inner test implement inner ajc test java test java error inner cannot resolv type static class inner test implement inner sun javac compil without error. error avoid simpli write base inner instead inner. also compil fine constraint extend test inner test left away.
159,159,Bug 291206 Allow declare error & declare warning to support type expressions,
160,160,Bug 103740 Compiler failure on @annotation, use ajc embed latest dev build ajdt build small exampl illustr problem public abstract aspect abstract request monitor public pointcut execut request context context execut request context execut.. context public abstract class request context public abstract object execut request context context throw throwabl execut context import java lang annot retent import java lang annot retent polici retent retent polici. runtim public interfac around advic public aspect error handl declar soft except annot around advic withincod.. object around adviceexecut annot around advic tri return proceed catch except return null stack trace get org aspectj weaver. except bad org aspectj weaver bcel bcel render visit bcel render java org aspectj weaver ast liter accept liter java org aspectj weaver bcel bcel render recur bcel render java org aspectj weaver bcel bcel render test bcel render java org aspectj weaver bcel bcel advic test instruct bcel advic java org aspectj weaver bcel bcel shadow around closur bcel shadow java org aspectj weaver bcel bcel advic on bcel advic java org aspectj weaver shadow munger shadow java org aspectj weaver shadow implement shadow java org aspectj weaver bcel bcel class weaver implement bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj ajdt intern compil aj compil adapt weav aj compil adapt java org aspectj ajdt intern compil aj compil adapt compil aj compil adapt java org aspectj ajdt intern compil compil adapt ajc return org compil adapt cc ca compil adapt aj org aspectj org eclips jdt intern compil compil compil compil java org aspectj ajdt intern core builder aj build manag compil aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java.
161,161,Bug 92906 showWeaveInfo for declare annotations, declar annot declar type constructor method field current show messag weav info option set ajc. appropri messag display.
162,162,Bug 118715 Load Time Weaving wipes out Xlint files if no Xlint values, class loader weav adaptor option lint null load xlint properti file get overwritten default xlint properti. see attach patch fix problem.
163,163,Bug 88900 Unnecessary warning for ITDs, consid follow aspect public aspect runnabl default impl public void runnabl run note make littl sens default implement runnabl. howev use allow easi reproduct bug. compil aspect lead follow warn.. test runnabl default impl aj warn affect type expos weaver java lang runnabl xlint type not expos to weaver public void runnabl run warn realli necessari weaver need runnabl expos. fact everyth work expect alreadi. good warn even error tri introduc new method follow aspect public aspect runnabl default impl public void runnabl walk.
164,164,Bug 48990 Special case if(false) to not require a dynamic test, fast match effici pattern match pointcut constant pool currrent implement within pointcut. plan provid oimplement pointcut releas.
165,165,Bug 40380 AspectJ does not honour libraries defined via Project Properties, ajdt eclips build jdk program eclips use jdk appropri build librari select project properti java build path. howev aspect continu use jdk associ eclips error result use is. occur run eclips compil program testcas. run eclips jdk. creat java project use jdk. write java class use is. public class test string buffer public static void main string arg new string buffer test of. convert aspect project.
166,166,Bug 374964 Performance - improve pointcut expensiveness calculation, build identifi abl reduc aspect ltw startup overhead app work second second switch expens this_or_target call pointcut evalu expens compar. seem make sens this_or_target expens sinc requir type match profil exact type pattern instanceof show expens wherea call evalu quickli case sinc fail match method name. sure specif particular usag cut ltw startup nice improv. think chang make sens everyon work patch make configur somehow. thank. reproduc alway.
167,167,Bug 108886 Getting Exception during compilation : java.lang.RuntimeException: Internal Compiler Error: Unexpected null source location passed as 'see also' location., attach small test case reproduc error sure attach hope feasibl log bug.
168,168,Bug 49250 alias getCause for getWrappedThrowable in SoftException, soft except implement caus public throwabl caus return inner point ramniva misc mail messag code comment... use caus mean chain print expect esp soft except wrap remot except. sinc caus replic wrap throwabl could deprec must continu support maintain upward binari compat runtim class.
169,169,Bug 124399 AJDT AspectJ Internal Compiler Error, eclips ajdt decemb th releas got messag error dialog org aspectj weaver. except org aspectj weaver bcel lazi class gen lazi method gen lazi class gen java org aspectj weaver bcel lazi class gen lazi method gen lazi class gen java org aspectj weaver bcel bcel shadow around inlin bcel shadow java org aspectj weaver bcel bcel advic on bcel advic java org aspectj weaver shadow munger shadow java org aspectj weaver shadow implement shadow java org aspectj weaver bcel bcel class weaver implement bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj ajdt intern compil aj compil adapt weav aj compil adapt java org aspectj ajdt intern compil aj compil adapt compil aj compil adapt java org aspectj ajdt intern compil compil adapt ajc return compil adapt cc ca compil adapt aj org aspectj org eclips jdt intern compil compil compil compil java org aspectj ajdt intern core builder aj build manag compil aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java troubl public class edu ucsd aosd my applic extend java lang object public void init aload_ edu ucsd aosd my applic line invokespeci java lang object init constructor execut void edu ucsd aosd my applic init return constructor execut void edu ucsd aosd my applic init end public void init public static void main string org aspectj weaver method declar line number method execut void edu ucsd aosd my applic main java lang string aload_ java lang string arg line astor iconst_ istore_ aload arraylength istore_ goto aload iload_ aaload astore_ getstat java lang system ljava io print stream line new java lang string builder dup ldc got invokespeci java lang string builder init ljava lang string aload_ java lang string arg method call java lang string builder java lang string builder append java lang string invokevirtu java lang string builder append ljava lang string ljava lang string builder method call java lang string builder java lang string builder append java lang string method call java lang string java lang string builder string invokevirtu java lang string builder string ljava lang string method call java lang string java lang string builder string astor astor method call void java io print stream println java lang string aload aload invokevirtu java io print stream println ljava lang string method call void java io print stream println java lang string getstat java lang system ljava io print stream line ldc got iconst_ anewarray java lang object dup iconst_ aload_ java lang string arg aastor method call java io print stream java io print stream printf java lang string java lang object invokevirtu java io print stream printf ljava lang string ljava lang object ljava io print stream method call java io print stream java io print stream printf java lang string java lang object pop iinc line iload_ iload_ if_icmplt return line method execut void edu ucsd aosd my applic main java lang string end public static void main string end public class edu ucsd aosd my applic implement shadow method call void java io print stream println java lang string weav type edu ucsd aosd my applic weav class weav increment build build config eclips workspac metadata plugin org eclips ajdt core aspect semant test gener lst file occur edit file aspect project recent renam aj extens packag edu ucsd aosd import java io print stream public class my applic main public static void main string arg string arg arg system println got arg system printf got arg aspect print pointcut call print stream ps string call print stream println string target ps arg object around print stream ps string call ps adviceexecut return proceed ps pointcut call print stream ps string fmt object obj call print stream printf string object... target ps arg fmt obj cursor save. previous save version call pointcut call printf main. thu might want tri println version first save make new addit. though hope debug inform enough.
170,170,Bug 118698 Not Allowing Access to Private ITD inside Nested Type, aspect fail allow access privat itd field type nest insid aspect inconsist java access rule. sourc. see also follow patch test integr ajc test suit public aspect unknown privat static interfac marker privat class foo implement marker public foo bar null allow listen null also allow listen null marker listen null marker listen null privat object marker listen privat object bar.
171,171,Bug 47318 org.aspectj.asm.IRelationship.Kind.ALL does not contain all kinds, org aspectj asm. relationship kind. array contain kind relationship may. three possibl kind defin relationship java advic declar declare_inter_typ. kind contain advic declar. lead array index out of bound except.
172,172,Bug 56779 [ajdoc] add ajdoc support for inter-type declarations and other declare forms, current ajdoc expos advis advis relationship structur model. need support inter type field member declar use ui similar javadoc present inherit member. also need support declar form error warn soft parent preced.
173,173,Bug 49457 No error on overloaded pointcuts unless binding variables, compil might detect overload pointcut name paramet bound might implement pointcut correctli. context repli ron bodkin aspectj dev proper behavior overload pointcut definit. check code recent submit test case evalu whether code actual replic ron bug. context email program guid say error two pointcut name name class aspect declar. compil overload pointcut name get error pointcut pc runnabl target call void run pointcut pc sub runnabl target call void run aspectj classpath ajrt overload pointcut java... overload pointcut java duplic pointcut name pc... overload pointcut java duplic pointcut name pc... use pointcut bound paramet get error runnabl pc log pc runnabl sub runnabl pc log pc sub runnabl use pointcut type paramet get error pc runnabl log pc runnabl pc sub runnabl log pc sub runnabl pc log pc... code public class overload pointcut public static void main string arg new run class public void run aspect declar parent implement runnabl declar parent implement sub runnabl interfac sub runnabl extend runnabl pointcut pc runnabl target call void run pointcut pc sub runnabl target call void run runnabl pc log pc runnabl sub runnabl pc log pc sub runnabl pc runnabl log pc runnabl pc sub runnabl log pc sub runnabl pc log pc void log string system println ron code... follow program compil warn produc output run aspect. appear behav specif definit definit pointcut... simpl program illustr question odd behavior packag lib public class runnabl pointcut public pointcut call runnabl runnabl object caller call run.. target runnabl caller public pointcut runnabl call special runnabl runnabl object caller public pointcut call special runnabl runnabl object caller call run.. target runnabl caller packag lib public interfac special runnabl extend runnabl packag client import lib runnabl pointcut import lib special runnabl public aspect use object caller runnabl pointcut call caller target my runnabl system println runnabl call caller public static void main string arg use of it public void it new my runnabl run advic run make implement special runnabl class my runnabl implement special runnabl class my runnabl implement runnabl public void run.
174,174,Bug 80249 Order of types passed to compiler determines weaving behavior, current order specifi type pass compil affect woven exampl class class extend also aspect declar parent implement serializ depend whether see first may may make serializ. fix weav type first weav supertyp superinterfac also pass compil. problemat construct declar parent process type special order declar parent around. also current decp binari weav order process logic put sourc weav pipelin.
175,175,Bug 36430 Support -Xreweavable option,
176,176,Bug 106461 org.aspectj.weaver.patterns.WildTypePattern.maybeGetCleanName(WildTypePattern.java:500),
177,177,Bug 132926 Compiler crashes processing annotations, upgrad latest ajdt version build id aspect version compil crash rebuld project use work fine use use march th version. retri clean build produc crash java lang null pointer except org aspectj weaver annot at target initi annot java org aspectj weaver annot target annot java org aspectj weaver bcel bcel weaver target is bcel weaver java org aspectj weaver bcel bcel weaver declar at type bcel weaver java org aspectj weaver bcel bcel weaver parent type munger bcel weaver java org aspectj weaver bcel bcel weaver parent for bcel weaver java org aspectj weaver bcel bcel weaver parent for bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj ajdt intern compil aj compil adapt weav aj compil adapt java org aspectj ajdt intern compil aj compil adapt compil aj compil adapt java org aspectj ajdt intern compil compil adapt ajc return compil adapt cc ca compil adapt aj org aspectj org eclips jdt intern compil compil compil compil java org aspectj ajdt intern core builder aj build manag compil aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajdt intern core builder aj build manag build aj build manag java org aspectj ajd intern compil adapt compil compil adapt java org aspectj ajd intern aspect build manag compil thread run aspect build manag java null pointer except thrown null.
178,178,Bug 81846 EclipseAdapterUtils.java:83, java lang array index out of bound except unfortun provid much inform pleas see attach compil dump.
179,179,Bug 72531 declare warning warns at wrong points,
180,180,Bug 37021 source path wrong in declare warning on binary files, declar warn messag target class file injar sourc path list form app main class rather app main java aj. see test new warn. code run see problem. limit test test return fals posit detect error filenam check enabl har verif messag. also see filenam appear test reproduc problem. saw ajdt perhap filenam make sens ajdt ajdt simpli omit.
181,181,Bug 111481 varargs doesn't work for ITD'd constructors,
182,182,Bug 353349 NPE in deleteNewAndDup, java lang null pointer except org aspectj weaver bcel bcel shadow new and dup bcel shadow java org aspectj weaver bcel bcel shadow for munger bcel shadow java org aspectj weaver shadow implement shadow java org aspectj weaver bcel bcel class weaver implement bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel class weaver weav bcel class weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver bcel bcel weaver without dump bcel weaver java org aspectj weaver bcel bcel weaver and notifi bcel weaver java org aspectj weaver bcel bcel weaver weav bcel weaver java org aspectj weaver tool weav adaptor woven byte weav adaptor java org aspectj weaver tool weav adaptor class weav adaptor java org aspectj weaver loadtim aj process aj java.
183,183,Bug 106634 regression: argument causes BcelGenericSignatureToTypeXConverter.java:203, follow report compil error use aspect compil develop built monday jun gmt crash use aspect compil develop built wednesday aug gmt import java util vector work java util. use public class bug extend vector work vector extend void test doe not exist argument work without argument also bug appear flag use.
184,184,"Bug 44191 Need better error message for ""can't find type""", experienc situat iajc output messag like end compil. iajc find type org xxx some test case one time highli confus sinc expect class question refer anywher project date still locat refer. case would extrem nice error messag would display need class. name refer class es aspect es possibl reason cutoff seldom need list refer. would like messag like iajc find type org xxx some test refer org yyy some class org yy some other class..
185,185,Bug 76096 Anonymous classes unaware of introductions into abstract classes (error can't find type $Local$),
186,186,Bug 228633 AST Support for PointcutDesignators, would like enhanc abl match two pointcut design call pointcut definit aj quick refer. current follow test fail aj matcher test java public void match default pointcut aj ast aj aj ast. jl default pointcut dp ast default pointcut default pointcut dp ast default pointcut dp detail call foo.. dp detail call bar.. fals dp match new aj matcher dp reason implement mani differ kind pointcut definit aspect. instead default pointcut simpli contain pointcut definit string field detail shown test case. true default type pattern signatur pattern. addit current implement default pointcut default type pattern signatur pattern node alway match anoth ast node node type instanceof. see necessari add type everi possibl pointcut definit extend current implement type name pattern signatur pattern extend parser intern extern creat node pointcut definit extend convert convert new node type final extend matcher abl match two pointcut definit. implement alreadi done combin poincut use cflow refer pointcut without paramet. pleas comment task list initi overview result limit knowledg field.
